1016	{Name} waves.
1017	{Name} offers a formal greeting.
1018	{Name} weeps.
1019	{Name} laughs heartily.
1020	{Name} cheers victoriously.
1021	{Name} dances.
1022	{Name} taunts an enemy.
1023	{Name} applauds.
1024	{Name} begs for forgiveness.
1025	{Name} ponders for a moment.
1026	{Name} expresses an everlasting love.
1027	{Name} calls for an attack.
1028	{Name} points something out.
1029	{Name} blushes shyly.
1030	{Name} gestures angrily.
1038	{Name} sits down.
1039	{Name} stands up.
1043	{Name} bows with respect.
1044	{Name} celebrates with a dance.
1045	{Name} settles into a seat.
1046	{Name} wishes you peace.
1051	{Name} shows her respect.
